STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
COY,D,15,STORAGE,19961220 0000,19961221 0100,72641,,AF
COY,D,15,STORAGE,19961221 0000,19961222 0100,74074,,AF
COY,D,15,STORAGE,19961222 0000,19961223 0100,76130,,AF
COY,D,15,STORAGE,19961223 0000,19961224 0100,74056,,AF
COY,D,15,STORAGE,19961224 0000,19961225 0100,72328,,AF
COY,D,15,STORAGE,19961225 0000,19961226 0100,72345,,AF
COY,D,15,STORAGE,19961226 0000,19961227 0100,74126,,AF
COY,D,15,STORAGE,19961227 0000,19961228 0100,72798,,AF
COY,D,15,STORAGE,19961228 0000,19961229 0100,72119,,AF
COY,D,15,STORAGE,19961229 0000,19961230 0100,75918,,AF
COY,D,15,STORAGE,19961230 0000,19961231 0100,79887,,AF
COY,D,15,STORAGE,19961231 0000,19970101 0100,89136,,AF
COY,D,15,STORAGE,19970101 0000,19970102 0100,102512,,AF
COY,D,15,STORAGE,19970102 0000,19970103 0100,106415,,AF
COY,D,15,STORAGE,19970103 0000,19970104 0100,104164,,AF
COY,D,15,STORAGE,19970104 0000,19970105 0100,97343,,AF
COY,D,15,STORAGE,19970105 0000,19970106 0100,90282,,AF
COY,D,15,STORAGE,19970106 0000,19970107 0100,83213,,AF
COY,D,15,STORAGE,19970107 0000,19970108 0100,76183,,AF
COY,D,15,STORAGE,19970108 0000,19970109 0100,72763,,AF
COY,D,15,STORAGE,19970109 0000,19970110 0100,72502,,AF
COY,D,15,STORAGE,19970110 0000,19970111 0100,72450,,AF
COY,D,15,STORAGE,19970111 0000,19970112 0100,72659,,AF
COY,D,15,STORAGE,19970112 0000,19970113 0100,72816,,AF
COY,D,15,STORAGE,19970113 0000,19970114 0100,73130,,AF
COY,D,15,STORAGE,19970114 0000,19970115 0100,73025,,AF
COY,D,15,STORAGE,19970115 0000,19970116 0100,72781,,AF
COY,D,15,STORAGE,19970116 0000,19970117 0100,72467,,AF
COY,D,15,STORAGE,19970117 0000,19970118 0100,72397,,AF
COY,D,15,STORAGE,19970118 0000,19970119 0100,72397,,AF
COY,D,15,STORAGE,19970119 0000,19970120 0100,72450,,AF
COY,D,15,STORAGE,19970120 0000,19970121 0100,72606,,AF
COY,D,15,STORAGE,19970121 0000,19970122 0100,74021,,AF
COY,D,15,STORAGE,19970122 0000,19970123 0100,79584,,AF
COY,D,15,STORAGE,19970123 0000,19970124 0100,76659,,AF
COY,D,15,STORAGE,19970124 0000,19970125 0100,74442,,AF
COY,D,15,STORAGE,19970125 0000,19970126 0100,84814,,AF
COY,D,15,STORAGE,19970126 0000,19970127 0100,89572,,AF
COY,D,15,STORAGE,19970127 0000,19970128 0100,87577,,AF
COY,D,15,STORAGE,19970128 0000,19970129 0100,82639,,AF
COY,D,15,STORAGE,19970129 0000,19970130 0100,76042,,AF
COY,D,15,STORAGE,19970130 0000,19970131 0100,72102,,AF
COY,D,15,STORAGE,19970131 0000,19970201 0100,71980,,AF
COY,D,15,STORAGE,19970201 0000,19970202 0100,72519,,AF
COY,D,15,STORAGE,19970202 0000,19970203 0100,72920,,AF
COY,D,15,STORAGE,19970203 0000,19970204 0100,73339,,AF
COY,D,15,STORAGE,19970204 0000,19970205 0100,73095,,AF
COY,D,15,STORAGE,19970205 0000,19970206 0100,72502,,AF
COY,D,15,STORAGE,19970206 0000,19970207 0100,72415,,AF
COY,D,15,STORAGE,19970207 0000,19970208 0100,71997,,AF
COY,D,15,STORAGE,19970208 0000,19970209 0100,72136,,AF
COY,D,15,STORAGE,19970209 0000,19970210 0100,72293,,AF
COY,D,15,STORAGE,19970210 0000,19970211 0100,72415,,AF
COY,D,15,STORAGE,19970211 0000,19970212 0100,72502,,AF
COY,D,15,STORAGE,19970212 0000,19970213 0100,72554,,AF
COY,D,15,STORAGE,19970213 0000,19970214 0100,72554,,AF
COY,D,15,STORAGE,19970214 0000,19970215 0100,72554,,AF
COY,D,15,STORAGE,19970215 0000,19970216 0100,72554,,AF
COY,D,15,STORAGE,19970216 0000,19970217 0100,72554,,AF
COY,D,15,STORAGE,19970217 0000,19970218 0100,72606,,AF
COY,D,15,STORAGE,19970218 0000,19970219 0100,72606,,AF
COY,D,15,STORAGE,19970219 0000,19970220 0100,72606,,AF
COY,D,15,STORAGE,19970220 0000,19970219 0100,72606,,AF
COY,D,15,STORAGE,19970221 0000,19970222 0100,72571,,AF
COY,D,15,STORAGE,19970222 0000,19970223 0100,72502,,AF
COY,D,15,STORAGE,19970223 0000,19970224 0100,72415,,AF
COY,D,15,STORAGE,19970224 0000,19970225 0100,72293,,AF
COY,D,15,STORAGE,19970225 0000,19970226 0100,72293,,AF
COY,D,15,STORAGE,19970226 0000,19970227 0100,72206,,AF
COY,D,15,STORAGE,19970227 0000,19970228 0100,72258,,AF
COY,D,15,STORAGE,19970228 0000,19970301 0100,72258,,AF
COY,D,15,STORAGE,19970301 0000,19970302 0100,72310,,AF
COY,D,15,STORAGE,19970302 0000,19970303 0100,72554,,AF
COY,D,15,STORAGE,19970303 0000,19970303 0000,72624,,AF
COY,D,15,STORAGE,19970304 0000,19970305 0100,72676,,AF
COY,D,15,STORAGE,19970305 0000,19970306 0100,72816,,AF
