STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
COY,D,76,INFLOW,19961231 0000,19970101 0100,4703,,CFS
COY,D,76,INFLOW,19970101 0000,19970102 0100,6785,,CFS
COY,D,76,INFLOW,19970102 0000,19970103 0100,2009,,CFS
COY,D,76,INFLOW,19970103 0000,19970104 0100,704,,CFS
COY,D,76,INFLOW,19970104 0000,19970105 0100,189,,CFS
COY,D,76,INFLOW,19970105 0000,19970106 0100,-74,,CFS
COY,D,76,INFLOW,19970106 0000,19970107 0100,-226,,CFS
COY,D,76,INFLOW,19970107 0000,19970108 0100,288,,CFS
COY,D,76,INFLOW,19970108 0000,19970109 0100,281,,CFS
COY,D,76,INFLOW,19970109 0000,19970110 0100,262,,CFS
COY,D,76,INFLOW,19970110 0000,19970111 0100,256,,CFS
COY,D,76,INFLOW,19970111 0000,19970112 0100,364,,CFS
COY,D,76,INFLOW,19970112 0000,19970113 0100,338,,CFS
COY,D,76,INFLOW,19970113 0000,19970114 0100,417,,CFS
COY,D,76,INFLOW,19970114 0000,19970115 0100,356,,CFS
COY,D,76,INFLOW,19970115 0000,19970116 0100,380,,CFS
COY,D,76,INFLOW,19970116 0000,19970117 0100,344,,CFS
COY,D,76,INFLOW,19970117 0000,19970118 0100,372,,CFS
COY,D,76,INFLOW,19970118 0000,19970119 0100,351,,CFS
COY,D,76,INFLOW,19970119 0000,19970120 0100,378,,CFS
COY,D,76,INFLOW,19970120 0000,19970121 0100,430,,CFS
COY,D,76,INFLOW,19970121 0000,19970122 0100,1063,,CFS
COY,D,76,INFLOW,19970122 0000,19970123 0100,3043,,CFS
COY,D,76,INFLOW,19970123 0000,19970124 0100,678,,CFS
COY,D,76,INFLOW,19970124 0000,19970125 0100,950,,CFS
COY,D,76,INFLOW,19970125 0000,19970126 0100,5256,,CFS
COY,D,76,INFLOW,19970126 0000,19970127 0100,2432,,CFS
COY,D,76,INFLOW,19970127 0000,19970128 0100,525,,CFS
COY,D,76,INFLOW,19970128 0000,19970129 0100,414,,CFS
COY,D,76,INFLOW,19970129 0000,19970130 0100,149,,CFS
COY,D,76,INFLOW,19970130 0000,19970131 0100,372,,CFS
COY,D,76,INFLOW,19970131 0000,19970201 0100,691,,CFS
COY,D,76,INFLOW,19970201 0000,19970202 0100,650,,CFS
COY,D,76,INFLOW,19970202 0000,19970203 0100,582,,CFS
COY,D,76,INFLOW,19970203 0000,19970204 0100,590,,CFS
COY,D,76,INFLOW,19970204 0000,19970205 0100,658,,CFS
COY,D,76,INFLOW,19970205 0000,19970206 0100,515,,CFS
COY,D,76,INFLOW,19970206 0000,19970210 0100,455,,CFS
COY,D,76,INFLOW,19970207 0000,19970210 0100,305,,CFS
COY,D,76,INFLOW,19970208 0000,19970210 0100,331,,CFS
COY,D,76,INFLOW,19970209 0000,19970210 0100,336,,CFS
COY,D,76,INFLOW,19970210 0000,19970211 0100,326,,CFS
COY,D,76,INFLOW,19970211 0000,19970212 0100,317,,CFS
COY,D,76,INFLOW,19970212 0000,19970213 0100,295,,CFS
COY,D,76,INFLOW,19970213 0000,19970214 0100,269,,CFS
COY,D,76,INFLOW,19970214 0000,19970215 0100,267,,CFS
COY,D,76,INFLOW,19970215 0000,19970218 0100,268,,CFS
COY,D,76,INFLOW,19970216 0000,19970218 0100,268,,CFS
COY,D,76,INFLOW,19970217 0000,19970218 0100,296,,CFS
COY,D,76,INFLOW,19970218 0000,19970219 0100,271,,CFS
COY,D,76,INFLOW,19970219 0000,19970220 0100,271,,CFS
COY,D,76,INFLOW,19970220 0000,19970221 0100,244,,CFS
COY,D,76,INFLOW,19970221 0000,19970222 0100,283,,CFS
COY,D,76,INFLOW,19970222 0000,19970223 0100,240,,CFS
COY,D,76,INFLOW,19970223 0000,19970224 0100,239,,CFS
